identifier,village_name,lat,lon,viirs_radiance,solar_radiation_j,landuse_code,terrain_slope_deg,ndvi,worldpop_density,rainfall_mm
,Location #17004,11.128083,2.467811,0.28833333,6.512443064121094E8,20,0.3244259,0.30994725,0.3390281,1032.142870310694
,Location #16991,10.971396,2.36908,0.27416667,6.49371812078776E8,20,0.54671806,0.308303,0.22888008,1061.7952701300383
,Location #17028,10.895916,2.261148,0.29083332,6.472177479121094E8,40,0.24486618,0.34146595,0.18885207,1091.6256345510483
,Mékrou,11.321668,2.198933,0.2875,6.511141952454427E8,20,0.8675294,0.33876613,0.47410217,1012.6996879074723
,Location #17031,10.491678,1.551293,0.335,6.26460317578776E8,20,1.8335345,0.4740629,1.2551279,1254.181069970131
,Tanguieta,10.672777,1.282713,0.32416666,6.29445065578776E8,40,0.5603733,0.30860534,0.4329708,993.8855577707291
,Location #17035,10.443605,2.09527,0.295,6.324534092454427E8,40,0.7379759,0.39793685,0.19243157,1153.7138562202454
,Ouoré,10.890797,2.211004,0.32916668,6.463685502454427E8,40,0.5977379,0.34621626,0.2575983,1107.4591214060783
,Location #16982,7.494159,2.173765,0.29916665,5.649778574121094E8,30,0.9879026,0.37096295,0.4101166,1211.7852357625961
,Location #16994,10.46871,2.747147,0.30333334,6.399883002454427E8,30,3.35923,0.32275108,0.28840142,1107.6455700397491
,Lalo,7.352757,2.11591,0.33666667,5.64970723578776E8,20,0.8130301,0.39361846,1.0999421,1257.3107507228851
,Location #17002,9.281383,1.831419,0.34416667,6.036838172454427E8,20,0.990201,0.3345099,0.1628757,1424.678815484047
,Location #17025,10.867905,2.409294,0.29416668,6.474531112454427E8,20,0.7180905,0.39250734,0.16065887,1082.9405082464218
,Location #16998,11.226522,3.547427,0.3175,6.554726707454427E8,20,0.5569657,0.3008154,0.20736496,921.0676916241646
,Location #16983,6.884797,2.300513,0.35583332,5.3308254007877606E8,30,1.668662,0.4611514,1.0161619,1364.908194899559
,Location #16980,10.783645,2.425374,0.31583333,6.45553233578776E8,40,0.73282534,0.32262304,0.16015722,1099.3058656156063
,Location #17036,11.387833,2.662709,0.2975,6.550180514121094E8,20,0.8287516,0.31638378,0.560055,976.0408886671066
,Location #16993,10.645729,1.49822,0.29416668,6.27728469078776E8,40,0.9569403,0.38717785,0.69169766,1189.1397389173508
,Location #16987,10.969312,2.256889,0.2975,6.493103709121094E8,40,0.9368265,0.30954233,0.2854995,1057.9150063991547
,Abidomey,6.735858,2.585381,0.3725,5.2416232257877606E8,20,0.2193715,0.54307127,1.3090364,1304.3870728611946
,Kandérou,11.509344,2.527401,0.3175,6.552696362454427E8,40,0.4235885,0.31956118,1.9952918,935.0413452535868
,Location #17010,10.760783,3.765931,0.31833333,6.51971157078776E8,30,0.8201395,0.3328782,0.14186749,1176.2175009921193
,Location #17046,9.234126,1.700203,0.3175,6.010835627454427E8,10,0.71652484,0.45094228,0.1979086,1437.8632028102875
,Dengou,9.28383,1.721361,0.33833334,6.035995597454427E8,20,0.9948516,0.38203228,0.19660294,1459.947384238243
,Donwari,11.176204,2.828316,0.31833333,6.536332714121094E8,40,1.0215511,0.2765647,0.57791305,951.8905964940786
,Location #17039,10.674039,1.115395,0.30333334,6.30130960078776E8,40,0.8788052,0.3143412,1.0046391,1000.4394501447678
,Gbanbanga,11.146242,2.28371,0.28916666,6.51119683078776E8,40,0.5568086,0.25773662,1.9307741,1075.1222889786586
,Location #16972,10.672631,2.780073,0.33166668,6.455477189121094E8,40,0.7718612,0.23954737,0.5289196,1053.3388150334358
,Location #17038,9.48228,2.879499,0.30083334,6.06672961578776E8,40,0.721964,0.30203223,0.3375327,1189.9823886156082
,Location #16969,10.859745,1.498758,0.2925,6.358395617454427E8,20,1.0882673,0.39543986,0.21905,1058.0455030202866
,Location #16977,11.210089,2.193207,0.29583335,6.508290629121094E8,40,0.82852113,0.3164827,0.42858884,1027.388028293848
,Oké-Olou-Ossin,8.215378,2.668416,0.29833335,5.664972884121094E8,10,2.2002833,0.44721934,0.50692093,1262.729214310646
,Kpadé,11.025478,2.905527,0.33166665,6.51544925078776E8,40,1.5136493,0.28366366,1.0808723,1047.140537261963
,Location #16921,10.611327,2.721516,0.28583333,6.425656762454427E8,40,0.3238965,0.31017318,0.4661333,1074.0114043354988
,Koutangou,10.367881,1.074383,0.31666666,6.22414767578776E8,40,0.3502489,0.3039495,0.7447909,1064.761237025261
,Location #16922,11.179546,2.583852,0.3,6.52873183078776E8,40,0.3151428,0.32260004,0.33250064,1006.1138874292374
,Location #16887,10.908,2.368969,0.30833334,6.474531112454427E8,40,0.23613815,0.311729,0.17665723,1042.223889350891
,Savè,7.965662,2.504665,0.30083334,5.665363434121094E8,20,1.8787457,0.3400771,0.28225484,1137.8405759334564
,Location #16944,7.507657,1.921376,0.3075,5.74994682578776E8,20,1.1342254,0.4145237,0.22339514,1164.3541071414948
,Dododawa,11.085287,2.870444,0.34833333,6.529507797454427E8,30,0.8345917,0.2863354,2.563044,1019.6000317335129
,Dagourou,10.878107,3.026161,0.28916666,6.498397484121094E8,20,1.3855152,0.32104757,0.17730439,1022.9572744816542
,Sampèto-Angaradébou,11.580097,2.476134,0.2625,6.552649474121094E8,20,1.323927,0.34220037,0.5149766,950.125207901001
,Korowi,10.804459,3.698285,0.425,6.515493462454427E8,40,0.4783894,0.31669393,0.13911435,1204.0885946154594
