village_name,longitude,latitude,population
Sèmè-Kpodji,2.644096558674026,6.41710818259826,52
Location #15768,2.426150864047579,10.936359812354828,41
Natitingou,1.2591474217872758,10.30179577418587,64
Kandi,2.9569691066100883,11.181716439901095,59
Location #15904,2.73469574147874,10.662683958783246,39
Kétou,2.6727763397250413,7.544201148591968,75
Location #14674,2.2452873597956553,11.137320775015336,46
Location #15551,1.6426882138925007,8.863745518683471,41
Sonon,2.878136600463509,9.568618640100594,44
Tagayé,1.2954915388712538,10.323353233403079,116
Location #16554,2.4322645114364883,11.08306431172402,34
Location #13673,1.9265712702715008,9.144887467249934,52
Dassari,1.199412055889599,10.7471292001338,253
